"CPF","segmento_do_cliente.x","Idade","Rentabilidade","previdência","cartao_de_credito","cheque_especial","credito_pessoal","cdb","credito_consignado","respostas_de_nps","data_da_resposta","Renda","verbatim"
53919001633,"Exclusive",41,500.49,2,3,0,0,3,1,10,2024-09-29,8929,"0"
66423125807,"Prime",39,692.69,4,3,3,0,3,1,10,2024-12-05,13678,"0"
95008089180,"Prime",49,573.05,3,1,1,0,3,2,9,2024-03-09,19621,"Ótimo atendimento, adorei o app."
27891242336,"Classic",27,198.39,0,0,1,0,1,1,0,2024-10-09,4700,"O atendimento precisa melhorar."
37185442292,"Prime",36,634.98,4,1,2,1,2,2,4,2023-02-04,14003,"O app trava constantemente."
57501545511,"Exclusive",30,332.04,2,3,0,0,1,2,8,2023-04-22,9594,"0"
49575173609,"Prime",37,520.96,3,4,2,0,2,1,10,2024-06-06,15918,"0"
65233748234,"Prime",48,609.56,2,3,1,0,3,3,6,2023-04-16,16483,"0"
46931019423,"Exclusive",28,323.62,1,3,0,0,2,2,7,2024-09-03,9508,"0"
96324070049,"Prime",45,550.54,2,2,2,0,3,3,7,2024-04-18,11117,"0"
55792326396,"Classic",31,215.95,0,0,1,1,1,0,4,2023-05-08,6141,"O aplicativo é lento e confuso."
34720008385,"Exclusive",32,543.59,2,1,1,1,3,1,1,2024-10-28,8195,"0"
20650607402,"Classic",28,118.88,1,1,1,1,0,3,2,2024-07-21,4291,"0"
34141554316,"Exclusive",42,531.31,3,1,0,1,1,1,4,2024-07-08,8741,"O atendimento precisa melhorar."
29418875768,"Classic",37,204.14,0,0,1,1,0,1,9,2023-02-28,7564,"O serviço prestado é excelente."
59490647148,"Prime",52,588.98,4,3,2,0,3,2,2,2023-03-06,10157,"0"
66911162637,"Prime",30,625.99,2,4,1,0,2,2,0,2023-08-01,18121,"0"
64889994230,"Prime",49,676.87,3,3,2,0,3,1,1,2024-04-03,19279,"O app trava constantemente."
18547578884,"Exclusive",25,496.14,1,1,0,1,3,1,2,2023-06-13,9290,"0"
52238836367,"Exclusive",41,374.52,1,1,0,1,3,1,9,2024-07-18,9764,"0"
57388297476,"Exclusive",45,392.35,3,2,0,0,3,2,5,2024-08-09,9434,"O atendimento precisa melhorar."
40819211966,"Classic",26,142.2,0,1,1,1,1,1,1,2024-01-11,4888,"0"
64527590083,"Classic",34,141.16,0,0,0,0,1,1,9,2023-06-26,5150,"0"
44881103494,"Exclusive",50,542.24,1,3,0,1,3,1,4,2023-10-25,8238,"Tive problemas com o suporte."
87363650163,"Classic",34,258.64,0,1,1,1,1,3,3,2023-06-11,5287,"O aplicativo é lento e confuso."
13785367712,"Prime",45,728.52,4,1,2,0,3,2,6,2024-04-07,15752,"0"
92219517305,"Exclusive",45,439.64,1,3,0,1,1,1,0,2023-01-23,8388,"A experiência no banco não foi boa."
52042630346,"Prime",45,551.66,2,1,2,1,3,2,9,2023-10-11,11582,"0"
70281500673,"Classic",34,377.48,0,0,0,0,1,2,7,2024-08-17,1658,"0"
44871247228,"Exclusive",30,491.74,0,2,1,1,2,1,7,2024-05-27,9129,"0"
64689779222,"Classic",39,217.96,1,1,1,1,0,0,4,2023-08-25,3799,"0"
87412350980,"Prime",50,652.63,4,2,1,1,3,1,3,2023-12-24,17883,"0"
64787474592,"Prime",34,630,2,3,3,0,3,3,4,2023-04-05,12336,"0"
96428524752,"Classic",33,285.61,0,1,0,0,1,2,6,2023-01-12,5902,"0"
91906826071,"Prime",38,688.32,3,3,1,0,2,3,9,2024-03-30,16551,"0"
79405913659,"Exclusive",33,391.47,0,1,0,1,2,1,8,2024-12-11,9934,"0"
63942078590,"Exclusive",38,395.21,0,0,0,1,3,1,4,2024-02-27,9718,"0"
34297403719,"Prime",33,508.4,4,2,2,0,3,1,2,2023-06-07,16304,"0"
49716812750,"Exclusive",26,584.31,3,0,1,1,2,1,10,2023-05-28,9245,"0"
79086583639,"Prime",47,688.4,3,3,2,0,3,2,10,2023-02-14,10208,"0"
42840872044,"Prime",37,667.56,3,1,2,1,3,2,7,2023-05-27,13610,"0"
33539801026,"Exclusive",44,380.39,3,2,1,1,2,0,1,2023-04-22,8931,"0"
57052626892,"Exclusive",39,479.34,1,1,0,0,2,2,5,2024-05-16,8275,"0"
48283180659,"Exclusive",45,312.35,3,3,1,0,2,1,7,2023-06-16,8358,"0"
58355916315,"Classic",32,186.04,1,2,1,1,1,2,1,2024-01-24,6676,"A experiência no banco não foi boa."
35033882546,"Exclusive",45,584.73,3,1,0,1,2,2,1,2024-06-11,9284,"O aplicativo é lento e confuso."
91298686302,"Prime",30,626.8,3,3,3,0,2,3,5,2024-01-02,10238,"0"
41345439932,"Prime",44,575.96,3,4,3,0,2,2,0,2024-07-25,14886,"0"
47158654642,"Prime",33,521.68,3,4,3,0,3,2,1,2023-04-07,11432,"A experiência no banco não foi boa."
92584460268,"Exclusive",47,598.51,1,1,1,1,3,1,7,2024-04-19,9561,"0"
81708819942,"Classic",33,112.39,1,0,1,0,1,3,1,2024-03-18,4291,"0"
75191306509,"Classic",45,190.88,0,2,1,1,1,0,5,2023-06-05,3819,"0"
14888395017,"Classic",34,354.84,1,2,1,1,0,0,7,2024-01-12,4060,"0"
83483927913,"Prime",42,556.02,2,2,2,0,3,3,1,2023-06-23,14385,"0"
83369701460,"Exclusive",27,349.45,2,3,1,1,2,2,10,2024-11-29,8835,"Adoro as funcionalidades do app!"
31007460650,"Classic",24,380.61,1,1,1,1,1,3,4,2023-03-04,7686,"0"
90897398095,"Classic",44,102.2,0,0,1,1,1,0,4,2023-10-29,6795,"0"
86306800431,"Classic",21,307.37,0,1,1,0,1,0,10,2023-01-26,2046,"O aplicativo é rápido e fácil de usar."
75876557702,"Prime",51,615.46,4,2,3,0,2,2,10,2023-08-16,17158,"0"
39356877625,"Classic",22,287.71,0,0,1,0,1,1,9,2023-08-24,7704,"0"
14603941366,"Classic",43,358.8,1,0,1,0,1,1,6,2023-07-05,4416,"0"
40849965714,"Exclusive",42,534.83,2,1,0,1,1,1,10,2023-05-16,8359,"0"
94881519643,"Exclusive",33,590.92,3,3,1,1,2,1,2,2023-08-11,9854,"O app trava constantemente."
61588967784,"Prime",32,606.52,4,3,1,0,2,1,10,2024-10-02,16876,"O serviço prestado é excelente."
14356544674,"Prime",45,743.75,3,4,1,0,3,3,1,2024-12-15,12784,"A experiência no banco não foi boa."
40654116096,"Exclusive",25,538.25,3,2,0,1,3,1,4,2024-07-03,8432,"A experiência no banco não foi boa."
31895196238,"Classic",38,222.75,1,1,0,1,1,0,8,2023-12-17,5419,"Ótimo atendimento, adorei o app."
67925212783,"Prime",46,587.05,3,2,1,0,3,3,5,2024-04-25,10458,"O atendimento precisa melhorar."
68022576170,"Prime",42,590.82,2,3,1,0,3,3,6,2023-08-11,18718,"A experiência no banco não foi boa."
79550593214,"Classic",18,274.39,1,0,1,1,1,1,5,2024-11-01,3695,"A experiência no banco não foi boa."
52241036828,"Exclusive",36,457.88,0,2,0,1,1,1,6,2023-04-27,8126,"0"
14212277786,"Classic",27,228.33,0,1,0,0,1,3,10,2023-11-15,4906,"O aplicativo é rápido e fácil de usar."
68388042814,"Exclusive",44,389.35,0,2,0,1,1,1,5,2024-04-11,9174,"0"
60449565365,"Exclusive",50,516.94,0,3,0,1,3,1,2,2023-06-25,8957,"0"
75417367806,"Prime",31,667.79,3,4,3,0,2,2,2,2023-11-12,12155,"0"
22415923928,"Prime",52,511.44,3,4,2,0,2,2,2,2023-01-27,16253,"O aplicativo é lento e confuso."
10966095465,"Classic",36,241.51,0,2,1,1,1,2,8,2023-08-09,5182,"0"
14756643634,"Classic",24,217.54,0,0,0,1,1,2,9,2024-04-17,1752,"0"
64067627397,"Classic",42,184.17,0,0,1,0,1,2,2,2023-09-15,1558,"Tive problemas com o suporte."
80766078760,"Prime",35,719.17,2,4,2,1,3,3,5,2023-07-16,14249,"0"
26014879669,"Classic",24,294.9,0,1,1,1,0,0,5,2024-05-29,1523,"0"
78757902022,"Prime",38,578.27,4,2,3,0,3,1,7,2024-06-19,14817,"0"
75317014464,"Prime",39,608.74,2,3,1,0,2,2,4,2024-08-06,14525,"0"
84403951787,"Classic",27,328.32,0,1,1,1,1,1,0,2024-09-24,7331,"0"
16553441374,"Exclusive",36,447.7,1,0,1,0,2,0,10,2024-02-21,8054,"O serviço prestado é excelente."
86131245662,"Classic",21,229.9,0,2,1,0,1,2,1,2024-07-20,1816,"O app trava constantemente."
68483356040,"Exclusive",46,593.1,2,0,1,1,1,1,2,2024-06-24,8628,"0"
83260955420,"Prime",37,684.17,3,3,2,0,3,3,0,2024-12-13,13231,"0"
46449932199,"Prime",50,681.48,4,2,3,0,3,3,7,2023-05-22,17160,"0"
61396072059,"Prime",31,718.57,3,4,3,0,3,2,5,2023-03-20,16418,"0"
52897573088,"Prime",50,519.24,2,4,3,0,3,2,5,2024-01-09,10629,"0"
78457367640,"Prime",50,553.9,3,4,2,1,3,1,9,2023-07-20,10041,"0"
98151212515,"Exclusive",37,387.38,3,1,0,1,3,1,4,2023-12-29,8989,"0"
35976828181,"Exclusive",40,425.88,3,3,0,1,3,1,1,2024-07-16,9684,"0"
17894318121,"Prime",50,667.4,2,3,1,0,2,2,4,2023-02-17,11200,"0"
63256781297,"Classic",41,106.29,0,2,1,0,1,1,1,2023-07-15,2877,"0"
46098521667,"Prime",36,569.05,4,4,2,1,3,2,9,2024-05-12,13481,"0"
62690586289,"Classic",23,381.02,0,2,0,1,0,0,4,2023-09-25,7735,"0"
81591070356,"Classic",27,292.19,0,2,1,1,0,1,0,2023-03-27,1153,"O app trava constantemente."
75822637008,"Prime",39,655.49,3,2,3,0,3,2,2,2023-11-17,14623,"A experiência no banco não foi boa."
83224442056,"Prime",47,622.1,4,1,1,1,3,2,2,2023-07-15,10847,"O app trava constantemente."
30822667858,"Classic",44,263.48,0,1,1,1,0,1,9,2023-08-24,1729,"0"
40461605978,"Classic",29,267.96,0,1,0,1,0,2,10,2023-04-05,2181,"0"
87021039372,"Classic",30,389.85,0,1,0,0,0,0,9,2023-11-16,6618,"O serviço prestado é excelente."
28857145545,"Prime",34,598.8,4,4,3,1,3,2,5,2024-02-13,11005,"0"
56423695566,"Classic",23,244.26,0,0,0,1,0,3,1,2024-02-02,6039,"0"
27332528596,"Exclusive",25,525.98,3,3,0,1,2,1,7,2024-12-02,9112,"0"
22337437144,"Classic",45,399.41,0,0,1,1,1,1,7,2024-02-06,5115,"0"
72898774861,"Classic",33,199.48,0,2,1,0,1,2,8,2023-07-06,7526,"0"
64009980317,"Classic",30,108.51,0,1,1,1,0,2,4,2023-08-06,2234,"0"
73692175222,"Exclusive",39,352.96,2,3,0,0,1,1,1,2023-10-21,8274,"0"
48759447984,"Exclusive",37,503.9,2,1,0,1,2,1,4,2023-11-11,8900,"0"
28581461688,"Prime",30,658.2,3,4,3,0,3,2,2,2023-04-08,13457,"0"
47324409553,"Classic",22,172.68,0,2,1,0,0,1,0,2024-11-18,3944,"O app trava constantemente."
60734037971,"Exclusive",34,559.63,1,1,1,1,3,1,3,2024-03-06,8068,"0"
14419912827,"Prime",54,657.95,4,4,1,0,3,3,9,2023-10-02,18873,"0"
55896806315,"Exclusive",37,486.19,3,3,0,0,3,1,4,2024-12-18,9914,"A experiência no banco não foi boa."
69643598499,"Prime",31,631.17,4,2,3,0,3,2,9,2024-05-22,12880,"0"
79585587965,"Prime",33,549.68,4,3,2,0,2,1,8,2023-03-12,19827,"0"
12564628121,"Prime",39,553.12,4,3,3,0,3,2,4,2024-06-22,14039,"O atendimento precisa melhorar."
40033130136,"Exclusive",32,557.39,3,3,0,1,3,1,5,2023-12-17,9921,"0"
81769156570,"Prime",44,737.68,2,3,2,1,3,2,1,2023-02-04,14987,"O atendimento precisa melhorar."
70934069709,"Prime",47,630.56,2,2,3,0,3,2,5,2023-08-23,18113,"O aplicativo é lento e confuso."
70445826658,"Prime",46,674.91,4,2,3,0,2,1,9,2024-12-10,14415,"0"
83350912988,"Prime",39,552.14,4,3,3,0,2,1,9,2024-08-09,17860,"0"
12177112231,"Exclusive",26,522.54,2,3,1,1,2,1,0,2024-08-17,9019,"O aplicativo é lento e confuso."
21824512386,"Prime",48,515.12,2,3,3,0,3,1,2,2023-12-09,10373,"0"
53075803006,"Exclusive",40,365.5,2,2,0,1,2,1,10,2023-12-17,8949,"0"
63536626539,"Classic",43,249.64,0,0,1,1,1,2,9,2023-07-27,6047,"0"
71348923220,"Exclusive",28,556.38,0,2,1,1,3,1,6,2024-11-06,9031,"0"
54659907798,"Prime",48,661.12,4,2,1,0,3,2,4,2023-02-01,18119,"0"
66271918302,"Prime",51,700.86,4,2,3,0,2,2,10,2024-02-15,15716,"0"
60113800685,"Classic",37,341.36,0,1,1,1,0,1,4,2023-09-11,3155,"0"
88075559360,"Prime",46,716.11,2,3,3,1,3,2,0,2024-12-06,19707,"0"
55310829958,"Classic",26,291.81,0,0,1,0,1,0,6,2024-03-27,4776,"0"
88420154516,"Prime",31,608.18,4,2,1,1,3,1,7,2024-03-01,15684,"0"
32521512650,"Exclusive",26,372.76,0,2,0,1,2,0,7,2024-07-20,8753,"0"
85734744451,"Exclusive",39,569.15,2,1,0,0,3,1,7,2024-01-19,8960,"0"
41251650251,"Exclusive",48,463.59,3,2,0,1,1,2,7,2024-08-15,9139,"0"
43259754950,"Exclusive",43,315.71,3,3,1,1,3,2,9,2024-01-25,9055,"O aplicativo é rápido e fácil de usar."
77707491352,"Classic",19,246.05,0,1,0,1,1,1,10,2024-02-08,6660,"Muito satisfeito com o banco."
84343861553,"Exclusive",26,517.78,3,3,1,1,3,1,0,2024-06-13,8476,"Tive problemas com o suporte."
28977404934,"Exclusive",43,320.33,3,1,0,1,3,1,0,2024-10-08,8558,"0"
80432749238,"Exclusive",50,428.42,3,0,0,1,3,1,9,2024-05-13,8769,"0"
28025044358,"Classic",26,239.15,0,1,1,1,1,3,1,2024-04-05,1152,"0"
69528537575,"Exclusive",47,507.66,2,3,1,1,2,0,7,2024-10-25,8208,"0"
16322849438,"Prime",30,549.29,4,2,1,0,2,1,4,2023-01-31,19127,"O aplicativo é lento e confuso."
95206387155,"Exclusive",44,492.04,3,3,1,0,3,2,5,2024-11-12,8600,"0"
36640924427,"Prime",52,619.13,4,3,2,0,3,2,0,2023-01-06,10192,"0"
69538379076,"Exclusive",46,321.09,1,3,0,1,1,2,1,2024-02-13,8403,"0"
55986513529,"Classic",18,283.84,1,2,1,0,1,1,4,2024-08-02,2286,"0"
73651536787,"Classic",29,380.73,1,1,1,1,1,2,4,2024-11-03,2571,"0"
15820689814,"Classic",41,185.2,0,1,0,1,0,3,6,2023-08-16,4535,"0"
13136201471,"Exclusive",50,380.39,3,1,1,0,1,2,4,2023-01-17,9848,"0"
16124850692,"Classic",44,179.65,0,1,1,1,0,1,6,2023-09-13,1318,"O aplicativo é lento e confuso."
98584335602,"Exclusive",41,515.01,3,3,0,1,2,0,7,2023-02-20,9020,"0"
28829347001,"Prime",53,717.64,2,3,3,0,3,2,10,2023-11-04,13060,"0"
66840126474,"Classic",43,316.47,0,1,0,0,1,1,1,2024-10-25,3815,"O aplicativo é lento e confuso."
33103445440,"Prime",41,605.91,4,3,3,1,2,1,3,2024-08-31,11208,"A experiência no banco não foi boa."
66725829858,"Classic",20,140.14,0,2,1,1,1,2,2,2024-02-25,4938,"0"
50221824751,"Classic",33,369.6,0,0,1,0,1,0,8,2023-05-23,5223,"0"
48717341579,"Exclusive",50,399.35,0,1,0,1,3,1,7,2024-09-13,9332,"0"
21079753971,"Prime",35,587.01,4,2,3,1,2,1,9,2024-09-14,16350,"0"
24131912995,"Classic",21,340,0,2,0,1,0,2,4,2023-01-20,7388,"O app trava constantemente."
72246681679,"Prime",38,689.45,4,3,2,0,3,2,7,2023-11-20,11395,"0"
34985984340,"Classic",19,164.39,0,2,1,0,1,2,2,2024-04-24,7537,"Tive problemas com o suporte."
33019974283,"Classic",29,152.57,0,1,1,1,1,2,5,2023-10-26,1567,"A experiência no banco não foi boa."
28504269642,"Classic",35,142.24,1,1,0,0,1,3,6,2023-05-05,6595,"0"
19381571708,"Exclusive",45,416.51,0,3,0,1,3,1,8,2024-10-13,9035,"0"
98645983091,"Exclusive",46,400.36,0,3,0,1,3,0,4,2024-06-17,8567,"0"
73460064314,"Prime",33,525.05,4,1,3,0,3,1,2,2024-08-19,10335,"O atendimento precisa melhorar."
74930975748,"Prime",43,729.88,2,3,2,0,3,3,0,2024-03-29,15134,"0"
94916359280,"Exclusive",27,593.32,3,0,0,0,3,2,7,2024-10-12,9605,"0"
29906407263,"Prime",36,531.04,4,1,2,0,2,3,9,2024-01-16,12914,"0"
50457453808,"Exclusive",27,569.05,2,0,0,1,3,1,2,2024-11-05,8272,"0"
66316095572,"Prime",36,721.37,4,2,2,1,3,1,5,2023-11-09,13395,"Tive problemas com o suporte."
44477558304,"Prime",39,628.13,4,3,2,0,3,3,3,2024-11-18,12550,"0"
53152742796,"Exclusive",44,311.83,2,3,0,1,1,0,1,2024-12-13,8224,"A experiência no banco não foi boa."
94895547895,"Prime",34,546.96,2,2,1,0,2,1,3,2024-07-11,18733,"0"
63807299042,"Classic",45,157.82,1,1,0,1,1,0,6,2023-04-19,7613,"A experiência no banco não foi boa."
83818010413,"Classic",43,177.81,1,0,1,1,1,1,4,2024-01-31,2302,"Tive problemas com o suporte."
88593894921,"Classic",18,326.56,0,1,1,0,1,3,9,2024-12-18,2993,"0"
92667554569,"Classic",34,107.89,0,2,1,1,1,2,7,2024-02-20,3856,"0"
29446672904,"Prime",35,518.1,4,2,3,0,3,1,6,2023-06-01,14745,"Tive problemas com o suporte."
93209430562,"Prime",32,595.04,2,1,2,1,3,1,9,2023-06-17,18277,"Adoro as funcionalidades do app!"
41884161059,"Classic",32,163.33,1,1,1,1,1,2,1,2024-06-08,3802,"A experiência no banco não foi boa."
98721963570,"Prime",51,625.77,4,2,1,0,3,2,8,2024-08-14,17729,"0"
18596556777,"Exclusive",26,574.12,1,3,0,1,2,0,5,2023-11-09,9456,"0"
13698128668,"Prime",42,684.53,4,2,1,0,3,1,3,2024-03-04,12994,"O atendimento precisa melhorar."
47826511095,"Exclusive",26,547.56,2,2,1,1,2,0,0,2024-09-04,9907,"A experiência no banco não foi boa."
82490721406,"Prime",42,549.62,4,2,2,1,2,1,10,2023-06-12,15453,"O aplicativo é rápido e fácil de usar."
37634705051,"Classic",27,268.73,0,1,1,0,1,2,4,2024-01-31,2853,"O aplicativo é lento e confuso."
54105423498,"Prime",43,508.75,2,1,3,0,2,2,7,2024-01-07,17297,"0"
38019284876,"Classic",27,161.18,0,2,1,1,1,0,10,2024-05-28,6932,"0"
91581296416,"Exclusive",48,541.9,3,2,0,1,2,1,3,2024-06-28,9323,"0"
62445680923,"Classic",33,127.57,0,1,1,0,1,2,2,2023-06-29,2771,"0"
20932121572,"Exclusive",40,422.27,2,3,0,0,3,1,2,2023-03-12,8974,"0"
68677965361,"Exclusive",44,560.33,1,3,0,1,3,1,6,2024-01-15,9089,"0"
99431011016,"Prime",44,670.65,4,3,2,0,2,3,2,2024-05-25,17069,"O app trava constantemente."
31485243135,"Exclusive",29,474.16,3,3,3,1,2,1,2,2023-03-05,8418,"0"
42283850117,"Classic",44,366.02,0,2,0,0,1,2,8,2023-03-10,3608,"0"
63177238081,"Classic",28,280.27,0,1,1,0,1,2,9,2024-01-15,5258,"0"
57153972536,"Exclusive",45,389.35,0,3,1,0,3,1,1,2024-08-13,9316,"O app trava constantemente."
70741742781,"Exclusive",33,303.15,0,3,2,1,3,1,3,2023-12-14,8075,"A experiência no banco não foi boa."
31137387393,"Prime",36,651.92,4,2,1,1,3,2,10,2023-11-16,18235,"Ótimo atendimento, adorei o app."
27181772112,"Prime",36,705,4,3,2,0,2,2,1,2024-05-24,15505,"O atendimento precisa melhorar."
41669002654,"Classic",30,277.31,1,2,1,1,0,3,3,2024-02-14,7147,"O aplicativo é lento e confuso."
42703189536,"Exclusive",37,526.19,0,0,3,0,1,0,4,2024-01-12,9100,"0"
20108486872,"Prime",36,513.67,2,2,1,0,2,1,9,2023-09-18,16743,"0"
95258075174,"Classic",35,396.37,0,2,1,0,0,0,2,2023-04-04,5845,"A experiência no banco não foi boa."
77363399225,"Prime",42,600.56,4,3,1,1,2,1,7,2024-02-22,10900,"0"
72793276587,"Classic",19,170.64,0,1,1,1,1,0,9,2023-06-05,7293,"0"
14207321360,"Exclusive",25,400.96,1,1,3,1,1,2,6,2023-04-07,9096,"0"
24614077824,"Exclusive",49,435.09,3,3,3,1,3,1,2,2024-03-04,9443,"0"
74086645775,"Prime",44,582.39,4,3,1,0,3,3,1,2024-07-26,10148,"0"
53643803697,"Prime",34,692.01,4,2,2,0,3,3,7,2024-11-20,10560,"0"
10247606847,"Exclusive",26,541.98,2,3,1,0,1,1,4,2023-09-10,8394,"0"
31065712630,"Prime",34,690.03,4,3,1,0,3,2,1,2024-02-12,11617,"0"
31413913070,"Prime",34,736.8,4,2,1,1,2,3,9,2024-06-12,12733,"Ótimo atendimento, adorei o app."
83680388769,"Classic",23,251.16,0,1,1,0,1,3,5,2023-08-31,6062,"O app trava constantemente."
79373878714,"Classic",23,114.35,1,0,0,1,1,2,7,2023-01-28,1977,"0"
50341162036,"Exclusive",34,514.03,1,3,1,1,3,1,0,2023-01-17,8133,"O app trava constantemente."
53934098944,"Classic",40,207,0,1,0,1,0,3,1,2024-07-24,5481,"0"
98701520072,"Prime",50,678.6,2,2,1,1,3,3,1,2024-07-16,15795,"0"
92553233121,"Exclusive",26,549.35,3,2,1,0,3,1,3,2023-11-21,8519,"0"
13313620914,"Prime",44,706.11,4,3,3,1,2,1,7,2023-03-11,15847,"0"
51989825241,"Exclusive",41,593.02,3,1,3,0,1,0,7,2024-12-03,8044,"0"
19495413174,"Classic",39,297.45,0,0,0,0,1,2,0,2024-09-13,5941,"0"
